job_title,Grupo
Data Lead,60920.47 - 67458.11
Data Lead,47845.19 - 54382.83
Data Engineer,191673.24 - 198210.88
Research Scientist,60920.47 - 67458.11
Research Scientist,41307.55 - 47845.19
Data Scientist,60920.47 - 67458.11
Data Scientist,41307.55 - 47845.19
Data Manager,60920.47 - 67458.11
Data Manager,47845.19 - 54382.83
Data Management Lead,80533.39 - 87071.03
Data Management Lead,60920.47 - 67458.11
Data Manager,67458.11 - 73995.75
Analyst,21694.64 - 28232.28
Business Intelligence Developer,93608.66 - 100146.3
Research Associate,67458.11 - 73995.75
Research Associate,60920.47 - 67458.11
Data Lead,263587.27 - 270124.91
Data Lead,172060.33 - 178597.97
Data Engineer,263587.27 - 270124.91
Encounter Data Management Professional,106683.94 - 113221.58
Encounter Data Management Professional,73995.75 - 80533.39
Manager,230899.08 - 237436.71
Business Intelligence Engineer,119759.22 - 126296.86
Manager,270124.91 - 276662.55
Machine Learning Scientist,80533.39 - 87071.03
Architect,243974.35 - 250511.99
Architect,178597.97 - 185135.61
Software Engineer,60920.47 - 67458.11
Software Engineer,47845.19 - 54382.83
Analytics Engineer,73995.75 - 80533.39
Analytics Engineer,54382.83 - 60920.47
Associate,119759.22 - 126296.86
Associate,263587.27 - 270124.91
Analyst,191673.24 - 198210.88
AI Engineer,217823.8 - 224361.44
AI Engineer,198210.88 - 204748.52
AI Engineer,119759.22 - 126296.86
Data Modeler,191673.24 - 198210.88
Data Modeler,132834.5 - 139372.13
Data Visualization Analyst,165522.69 - 172060.33
Data Visualization Analyst,73995.75 - 80533.39
Data Management Consultant,41307.55 - 47845.19
Data Management Consultant,34769.92 - 41307.55
Research Analyst,152447.41 - 158985.05
Research Analyst,67458.11 - 73995.75
Platform Engineer,80533.39 - 87071.03
Solutions Architect,47845.19 - 54382.83
Business Analyst,139372.13 - 145909.77
Full Stack Developer,100146.3 - 106683.94
Full Stack Developer,67458.11 - 73995.75
Associate,139372.13 - 145909.77
Associate,67458.11 - 73995.75
Software Developer,113221.58 - 119759.22
Research Scientist,243974.35 - 250511.99
Product Manager,237436.71 - 243974.35
Software Engineer,355114.21 - 361651.85
Data Governance Analyst,126296.86 - 132834.5
Applied Scientist,217823.8 - 224361.44
Applied Scientist,132834.5 - 139372.13
Data Lead,139372.13 - 145909.77
Data Lead,113221.58 - 119759.22
Software Development Engineer,217823.8 - 224361.44
Consultant,237436.71 - 243974.35
Consultant,132834.5 - 139372.13
Consultant,93608.66 - 100146.3
Consultant,73995.75 - 80533.39
Applied Scientist,243974.35 - 250511.99
Applied Scientist,198210.88 - 204748.52
Associate,126296.86 - 132834.5
Product Designer,296275.46 - 302813.1
Product Designer,217823.8 - 224361.44
Data Manager,34769.92 - 41307.55
Data Manager,28232.28 - 34769.92
AI Engineer,433565.87 - 440103.51
Data Governance Analyst,204748.52 - 211286.16
Data Governance Analyst,145909.77 - 152447.41
Solutions Architect,198210.88 - 204748.52
Solutions Architect,145909.77 - 152447.41
Software Engineer,433565.87 - 440103.51
Machine Learning Engineer,139372.13 - 145909.77
Technical Lead,368189.49 - 374727.13
Technical Lead,243974.35 - 250511.99
Machine Learning Engineer,394340.04 - 400877.68
Machine Learning Engineer,243974.35 - 250511.99
Platform Engineer,211286.16 - 217823.8
Platform Engineer,185135.61 - 191673.24
Research Engineer,178597.97 - 185135.61
Data Engineer,498942.26 - 505479.9
AI Engineer,498942.26 - 505479.9
Solutions Engineer,211286.16 - 217823.8
Solutions Engineer,119759.22 - 126296.86
Data Scientist,15157.0 - 21694.64
Analytics Engineer,60920.47 - 67458.11
Analytics Engineer,41307.55 - 47845.19
Analytics Engineer,178597.97 - 185135.61
Analytics Engineer,132834.5 - 139372.13
Engineer,289737.82 - 296275.46
Postdoctoral Researcher,132834.5 - 139372.13
Postdoctoral Researcher,113221.58 - 119759.22
Engineer,368189.49 - 374727.13
Enterprise Account Executive,139372.13 - 145909.77
Software Developer,217823.8 - 224361.44
Software Developer,93608.66 - 100146.3
Manager,407415.32 - 413952.96
Manager,348576.57 - 355114.21
Product Manager,165522.69 - 172060.33
Architect,185135.61 - 191673.24
Architect,113221.58 - 119759.22
Solutions Engineer,283200.18 - 289737.82
Systems Engineer,178597.97 - 185135.61
Systems Engineer,106683.94 - 113221.58
Software Engineer,374727.13 - 381264.76
Business Intelligence Analyst,172060.33 - 178597.97
Business Intelligence Analyst,113221.58 - 119759.22
Full Stack Engineer,296275.46 - 302813.1
Full Stack Engineer,145909.77 - 152447.41
Product Manager,34769.92 - 41307.55
Architect,309350.74 - 315888.38
Product Analyst,145909.77 - 152447.41
Product Analyst,93608.66 - 100146.3
QA Engineer,250511.99 - 257049.63
QA Engineer,132834.5 - 139372.13
Analyst,80533.39 - 87071.03
Head of Data,113221.58 - 119759.22
Head of Data,106683.94 - 113221.58
Lead Data Analysis,191673.24 - 198210.88
Lead Data Analysis,126296.86 - 132834.5
Associate,315888.38 - 322426.02
Associate,276662.55 - 283200.18
Cloud Engineer,250511.99 - 257049.63
Cloud Engineer,145909.77 - 152447.41
Software Developer,119759.22 - 126296.86
Engineer,296275.46 - 302813.1
Machine Learning Engineer,54382.83 - 60920.47
Data Management Associate,132834.5 - 139372.13
Data Management Associate,87071.03 - 93608.66
Head of AI,217823.8 - 224361.44
Head of AI,185135.61 - 191673.24
Consultant,152447.41 - 158985.05
Manager,60920.47 - 67458.11
Software Engineer,67458.11 - 73995.75
Solutions Architect,106683.94 - 113221.58
Solutions Architect,87071.03 - 93608.66
Manager,73995.75 - 80533.39
Data Product Manager,217823.8 - 224361.44
Data Product Manager,100146.3 - 106683.94
Research Analyst,113221.58 - 119759.22
Research Analyst,73995.75 - 80533.39
Business Intelligence Analyst,191673.24 - 198210.88
Business Intelligence Analyst,100146.3 - 106683.94
Business Intelligence Analyst,60920.47 - 67458.11
Engineer,34769.92 - 41307.55
Data Lead,126296.86 - 132834.5
Quantitative Analyst,132834.5 - 139372.13
Quantitative Analyst,80533.39 - 87071.03
Research Scientist,185135.61 - 191673.24
Site Reliability Engineer,283200.18 - 289737.82
Site Reliability Engineer,152447.41 - 158985.05
AI Engineer,67458.11 - 73995.75
Data Governance,67458.11 - 73995.75
Data Governance,41307.55 - 47845.19
Technical Lead,211286.16 - 217823.8
Technical Lead,132834.5 - 139372.13
Technical Lead,217823.8 - 224361.44
Technical Lead,152447.41 - 158985.05
Architect,191673.24 - 198210.88
Architect,126296.86 - 132834.5
Solution Architect,198210.88 - 204748.52
Data Specialist,73995.75 - 80533.39
Head of Data,368189.49 - 374727.13
Head of Data,342038.93 - 348576.57
Product Manager,204748.52 - 211286.16
Computer Vision Engineer,132834.5 - 139372.13
Machine Learning Engineer,237436.71 - 243974.35
Engineer,237436.71 - 243974.35
Analyst,152447.41 - 158985.05
Engineer,15157.0 - 21694.64
Data Infrastructure Engineer,178597.97 - 185135.61
Data Infrastructure Engineer,126296.86 - 132834.5
Research Scientist,250511.99 - 257049.63
Research Scientist,355114.21 - 361651.85
QA Engineer,263587.27 - 270124.91
QA Engineer,139372.13 - 145909.77
Systems Engineer,309350.74 - 315888.38
Principal Researcher,289737.82 - 296275.46
Principal Researcher,132834.5 - 139372.13
Data Engineer,270124.91 - 276662.55
Product Manager,87071.03 - 93608.66
Member of Technical Staff,309350.74 - 315888.38
Member of Technical Staff,132834.5 - 139372.13
Postdoctoral Researcher,172060.33 - 178597.97
Software Engineer,270124.91 - 276662.55
Consultant,126296.86 - 132834.5
Architect,165522.69 - 172060.33
Computational Scientist,217823.8 - 224361.44
Computational Scientist,139372.13 - 145909.77
Data Management Analyst,191673.24 - 198210.88
Data Management Analyst,106683.94 - 113221.58
Data Management Specialist,54382.83 - 60920.47
Data Management Specialist,28232.28 - 34769.92
Data Analytics Manager,126296.86 - 132834.5
Data Analytics Manager,67458.11 - 73995.75
DevOps Engineer,165522.69 - 172060.33
DevOps Engineer,100146.3 - 106683.94
BI Developer,158985.05 - 165522.69
BI Developer,87071.03 - 93608.66
Business Intelligence Developer,178597.97 - 185135.61
Statistician,250511.99 - 257049.63
BI Engineer,158985.05 - 165522.69
BI Engineer,113221.58 - 119759.22
Software Developer,100146.3 - 106683.94
Solutions Engineer,106683.94 - 113221.58
Data Management Specialist,87071.03 - 93608.66
Data Management Specialist,67458.11 - 73995.75
Data Scientist,309350.74 - 315888.38
Analytics Engineer,165522.69 - 172060.33
Analytics Engineer,106683.94 - 113221.58
Data Engineer,322426.02 - 328963.66
Data Visualization Specialist,145909.77 - 152447.41
Data Visualization Specialist,119759.22 - 126296.86
Data Architect,152447.41 - 158985.05
Research Engineer,309350.74 - 315888.38
Solution Architect,152447.41 - 158985.05
Solution Architect,80533.39 - 87071.03
Data Quality Analyst,47845.19 - 54382.83
DevOps Engineer,178597.97 - 185135.61
Platform Engineer,165522.69 - 172060.33
Platform Engineer,113221.58 - 119759.22
DevOps Engineer,132834.5 - 139372.13
Data Engineer,211286.16 - 217823.8
Solution Architect,172060.33 - 178597.97
Solution Architect,126296.86 - 132834.5
AI Engineer,296275.46 - 302813.1
AI Engineer,139372.13 - 145909.77
AI Engineer,204748.52 - 211286.16
AI Engineer,283200.18 - 289737.82
Data Analyst,211286.16 - 217823.8
Consultant,34769.92 - 41307.55
Data Governance Analyst,80533.39 - 87071.03
Analyst,41307.55 - 47845.19
Analyst,15157.0 - 21694.64
Data Reporting Analyst,47845.19 - 54382.83
Data Reporting Analyst,41307.55 - 47845.19
Encounter Data Management Professional,80533.39 - 87071.03
Encounter Data Management Professional,54382.83 - 60920.47
Business Analyst,158985.05 - 165522.69
Business Analyst,93608.66 - 100146.3
Data Quality Lead,178597.97 - 185135.61
Data Quality Lead,165522.69 - 172060.33
Manager,263587.27 - 270124.91
Platform Engineer,145909.77 - 152447.41
Platform Engineer,87071.03 - 93608.66
Research Scientist,158985.05 - 165522.69
Research Scientist,106683.94 - 113221.58
Solutions Architect,178597.97 - 185135.61
Product Manager,106683.94 - 113221.58
AI Developer,191673.24 - 198210.88
AI Developer,106683.94 - 113221.58
Engineering Manager,172060.33 - 178597.97
Solutions Architect,283200.18 - 289737.82
Data Operations Engineer,198210.88 - 204748.52
Data Operations Engineer,139372.13 - 145909.77
Software Architect,230899.08 - 237436.71
Software Architect,139372.13 - 145909.77
Architect,211286.16 - 217823.8
Product Manager,283200.18 - 289737.82
Product Manager,152447.41 - 158985.05
Full Stack Developer,73995.75 - 80533.39
Manager,67458.11 - 73995.75
Data Platform Engineer,224361.44 - 230899.08
Data Platform Engineer,172060.33 - 178597.97
Research Scientist,257049.63 - 263587.27
Research Engineer,257049.63 - 263587.27
Research Engineer,185135.61 - 191673.24
Research Engineer,198210.88 - 204748.52
Software Engineer,459716.43 - 466254.07
Manager,309350.74 - 315888.38
Member of Technical Staff,348576.57 - 355114.21
Member of Technical Staff,237436.71 - 243974.35
AI Scientist,446641.15 - 453178.79
AI Scientist,178597.97 - 185135.61
Software Development Engineer,257049.63 - 263587.27
Technical Lead,172060.33 - 178597.97
Technical Lead,158985.05 - 165522.69
Python Developer,67458.11 - 73995.75
AI Engineer,106683.94 - 113221.58
AI Engineer,263587.27 - 270124.91
Data Architect,172060.33 - 178597.97
Product Manager,381264.76 - 387802.4
Platform Engineer,257049.63 - 263587.27
Data Product Manager,139372.13 - 145909.77
Data Product Manager,113221.58 - 119759.22
Data Product Owner,28232.28 - 34769.92
Analyst,172060.33 - 178597.97
Engineering Manager,158985.05 - 165522.69
Engineer,544705.73 - 551243.37
Analyst,257049.63 - 263587.27
Analyst,198210.88 - 204748.52
Manager,296275.46 - 302813.1
Product Analyst,198210.88 - 204748.52
Product Analyst,126296.86 - 132834.5
Manager,335501.29 - 342038.93
Manager,302813.1 - 309350.74
Business Intelligence Engineer,93608.66 - 100146.3
AI Engineer,145909.77 - 152447.41
MLOps Engineer,158985.05 - 165522.69
MLOps Engineer,119759.22 - 126296.86
Data Visualization Expert,191673.24 - 198210.88
Data Visualization Expert,54382.83 - 60920.47
Developer,172060.33 - 178597.97
Developer,100146.3 - 106683.94
Developer,41307.55 - 47845.19
Data Analyst,28232.28 - 34769.92
Platform Engineer,126296.86 - 132834.5
Developer,113221.58 - 119759.22
Developer,28232.28 - 34769.92
Systems Engineer,237436.71 - 243974.35
Systems Engineer,165522.69 - 172060.33
Engineer,348576.57 - 355114.21
Developer,34769.92 - 41307.55
Product Manager,126296.86 - 132834.5
Data Governance Analyst,172060.33 - 178597.97
Data Governance Analyst,100146.3 - 106683.94
Data Governance,60920.47 - 67458.11
Data Integrity Specialist,54382.83 - 60920.47
Data Integrity Specialist,34769.92 - 41307.55
Product Manager,100146.3 - 106683.94
Power BI Expert,100146.3 - 106683.94
Power BI Expert,60920.47 - 67458.11
Power BI Expert,152447.41 - 158985.05
Power BI Expert,93608.66 - 100146.3
Power BI Expert,67458.11 - 73995.75
Power BI Expert,41307.55 - 47845.19
Data Specialist,87071.03 - 93608.66
Member of Technical Staff,191673.24 - 198210.88
Member of Technical Staff,165522.69 - 172060.33
Manager,276662.55 - 283200.18
Research Assistant,93608.66 - 100146.3
Research Assistant,41307.55 - 47845.19
Machine Learning Architect,420490.6 - 427028.24
Machine Learning Architect,270124.91 - 276662.55
Machine Learning Scientist,257049.63 - 263587.27
Machine Learning Scientist,185135.61 - 191673.24
Consultant,172060.33 - 178597.97
Associate,41307.55 - 47845.19
Associate,34769.92 - 41307.55
Enterprise Account Executive,73995.75 - 80533.39
Enterprise Account Executive,60920.47 - 67458.11
Postdoctoral Researcher,106683.94 - 113221.58
Postdoctoral Researcher,67458.11 - 73995.75
Data and Reporting Professional,93608.66 - 100146.3
Data and Reporting Professional,67458.11 - 73995.75
Data Governance,211286.16 - 217823.8
Data Governance,139372.13 - 145909.77
Data Governance,93608.66 - 100146.3
Data Governance,73995.75 - 80533.39
Research Scientist,80533.39 - 87071.03
Quantitative Analyst,243974.35 - 250511.99
Quantitative Analyst,198210.88 - 204748.52
Research Scientist,93608.66 - 100146.3
Software Developer,67458.11 - 73995.75
Data Product Owner,172060.33 - 178597.97
Data Product Owner,113221.58 - 119759.22
Data Architect,191673.24 - 198210.88
Machine Learning Engineer,211286.16 - 217823.8
System Engineer,211286.16 - 217823.8
System Engineer,139372.13 - 145909.77
Consultant,119759.22 - 126296.86
Consultant,47845.19 - 54382.83
Analyst,237436.71 - 243974.35
Head of Data,623157.39 - 629695.03
Head of Data,21694.64 - 28232.28
Member of Technical Staff,257049.63 - 263587.27
Member of Technical Staff,145909.77 - 152447.41
Business Intelligence Engineer,185135.61 - 191673.24
Business Intelligence Engineer,100146.3 - 106683.94
Analytics Engineer,80533.39 - 87071.03
Data Scientist,34769.92 - 41307.55
Decision Scientist,191673.24 - 198210.88
Decision Scientist,100146.3 - 106683.94
BI Engineer,152447.41 - 158985.05
BI Engineer,80533.39 - 87071.03
Business Intelligence Developer,60920.47 - 67458.11
Machine Learning Scientist,191673.24 - 198210.88
Bioinformatics Scientist,145909.77 - 152447.41
Bioinformatics Scientist,87071.03 - 93608.66
Product Manager,374727.13 - 381264.76
Product Manager,270124.91 - 276662.55
Software Engineer,714684.34 - 721221.97
Decision Scientist,224361.44 - 230899.08
Decision Scientist,185135.61 - 191673.24
Product Manager,224361.44 - 230899.08
Machine Learning Scientist,747372.53 - 753910.17
Machine Learning Engineer,747372.53 - 753910.17
Data Infrastructure Engineer,270124.91 - 276662.55
Data Infrastructure Engineer,145909.77 - 152447.41
Lead Engineer,270124.91 - 276662.55
Lead Engineer,178597.97 - 185135.61
Engineer,302813.1 - 309350.74
Architect,276662.55 - 283200.18
Architect,73995.75 - 80533.39
Data Platform Engineer,191673.24 - 198210.88
Data Platform Engineer,139372.13 - 145909.77
DevOps Engineer,80533.39 - 87071.03
Software Engineer,348576.57 - 355114.21
Software Development Engineer,204748.52 - 211286.16
Software Development Engineer,132834.5 - 139372.13
Software Development Engineer,54382.83 - 60920.47
Software Development Engineer,34769.92 - 41307.55
Business Analyst,106683.94 - 113221.58
Platform Engineer,204748.52 - 211286.16
Platform Engineer,119759.22 - 126296.86
Solutions Architect,296275.46 - 302813.1
Solutions Architect,191673.24 - 198210.88
Member of Technical Staff,152447.41 - 158985.05
Member of Technical Staff,67458.11 - 73995.75
Manager,400877.68 - 407415.32
Data Governance,132834.5 - 139372.13
Data Governance,87071.03 - 93608.66
Machine Learning Architect,165522.69 - 172060.33
Machine Learning Architect,113221.58 - 119759.22
Research Scientist,335501.29 - 342038.93
Data Engineer,348576.57 - 355114.21
Data Visualization Specialist,73995.75 - 80533.39
Data Visualization Specialist,60920.47 - 67458.11
BI Developer,119759.22 - 126296.86
BI Developer,106683.94 - 113221.58
Associate,132834.5 - 139372.13
Data Modeler,237436.71 - 243974.35
Developer,139372.13 - 145909.77
Architect,237436.71 - 243974.35
Data and Reporting Analyst,80533.39 - 87071.03
Data and Reporting Analyst,54382.83 - 60920.47
Business Intelligence Analyst,145909.77 - 152447.41
Business Intelligence Analyst,67458.11 - 73995.75
Data Specialist,28232.28 - 34769.92
Data Engineer,328963.66 - 335501.29
Data Management Analyst,113221.58 - 119759.22
Data Management Analyst,80533.39 - 87071.03
Data Manager,139372.13 - 145909.77
Architect,119759.22 - 126296.86
Associate,93608.66 - 100146.3
Statistician,191673.24 - 198210.88
Engineer,446641.15 - 453178.79
Developer Advocate,198210.88 - 204748.52
Developer Advocate,113221.58 - 119759.22
Statistical Programmer,132834.5 - 139372.13
BI Engineer,139372.13 - 145909.77
Data Specialist,80533.39 - 87071.03
Data Product Manager,185135.61 - 191673.24
Data Product Owner,230899.08 - 237436.71
Data Product Owner,132834.5 - 139372.13
Engineer,374727.13 - 381264.76
Data Infrastructure Engineer,230899.08 - 237436.71
Data Infrastructure Engineer,165522.69 - 172060.33
AI Engineer,257049.63 - 263587.27
AI Engineer,113221.58 - 119759.22
Data Strategist,172060.33 - 178597.97
Data Strategist,119759.22 - 126296.86
Software Developer,191673.24 - 198210.88
Consultant,80533.39 - 87071.03
Engineer,525092.82 - 531630.45
Engineer,355114.21 - 361651.85
Systems Engineer,217823.8 - 224361.44
Systems Engineer,145909.77 - 152447.41
Software Engineer,479329.34 - 485866.98
Lead Engineer,204748.52 - 211286.16
Lead Engineer,145909.77 - 152447.41
Research Associate,106683.94 - 113221.58
Data Platform Engineer,158985.05 - 165522.69
Full Stack Engineer,152447.41 - 158985.05
Bioinformatics Scientist,93608.66 - 100146.3
Bioinformatics Scientist,132834.5 - 139372.13
Full Stack Developer,145909.77 - 152447.41
Full Stack Developer,87071.03 - 93608.66
Research Associate,139372.13 - 145909.77
Research Associate,87071.03 - 93608.66
Systems Engineer,119759.22 - 126296.86
Software Engineer,322426.02 - 328963.66
Developer,211286.16 - 217823.8
Developer,152447.41 - 158985.05
Software Engineer,394340.04 - 400877.68
MLOps Engineer,67458.11 - 73995.75
MLOps Engineer,21694.64 - 28232.28
Data Analytics Lead,224361.44 - 230899.08
Data Analytics Lead,152447.41 - 158985.05
AI Scientist,237436.71 - 243974.35
AI Scientist,172060.33 - 178597.97
Data Governance,217823.8 - 224361.44
Product Manager,67458.11 - 73995.75
Platform Engineer,289737.82 - 296275.46
Engineering Manager,132834.5 - 139372.13
Power BI,47845.19 - 54382.83
Product Analyst,47845.19 - 54382.83
Business Analyst,178597.97 - 185135.61
Data Governance Specialist,145909.77 - 152447.41
Data Governance Specialist,126296.86 - 132834.5
Account Executive,250511.99 - 257049.63
Account Executive,113221.58 - 119759.22
Postdoctoral Fellow,54382.83 - 60920.47
Research Scientist,54382.83 - 60920.47
Research Scientist,47845.19 - 54382.83
Machine Learning Scientist,54382.83 - 60920.47
Data Modeler,126296.86 - 132834.5
Data Modeler,113221.58 - 119759.22
Data Operations Lead,185135.61 - 191673.24
Data Operations Lead,119759.22 - 126296.86
Site Reliability Engineer,191673.24 - 198210.88
Site Reliability Engineer,119759.22 - 126296.86
Analyst,28232.28 - 34769.92
Data Quality Analyst,158985.05 - 165522.69
Data Quality Analyst,93608.66 - 100146.3
Analyst,211286.16 - 217823.8
MLOps Engineer,237436.71 - 243974.35
MLOps Engineer,152447.41 - 158985.05
MLOps Engineer,270124.91 - 276662.55
MLOps Engineer,172060.33 - 178597.97
Data Visualization Engineer,139372.13 - 145909.77
Data Visualization Engineer,67458.11 - 73995.75
Data Management Analyst,100146.3 - 106683.94
Data Management Analyst,60920.47 - 67458.11
Software Developer,165522.69 - 172060.33
Data Operations Analyst,93608.66 - 100146.3
Data Operations Analyst,73995.75 - 80533.39
Data Governance Analyst,132834.5 - 139372.13
Data Governance Analyst,106683.94 - 113221.58
Data Governance Analyst,54382.83 - 60920.47
Developer,165522.69 - 172060.33
BI Developer,132834.5 - 139372.13
BI Developer,73995.75 - 80533.39
Computer Vision Engineer,217823.8 - 224361.44
Computer Vision Engineer,165522.69 - 172060.33
Data Management Associate,139372.13 - 145909.77
Data Management Associate,60920.47 - 67458.11
Applied Scientist,139372.13 - 145909.77
Software Engineer,302813.1 - 309350.74
Business Analyst,126296.86 - 132834.5
Business Analyst,113221.58 - 119759.22
Data Engineer,34769.92 - 41307.55
Data Engineer,15157.0 - 21694.64
AI Researcher,28232.28 - 34769.92
Machine Learning Engineer,283200.18 - 289737.82
Engineering Manager,348576.57 - 355114.21
Engineering Manager,165522.69 - 172060.33
Quantitative Analyst,172060.33 - 178597.97
Backend Engineer,348576.57 - 355114.21
Site Reliability Engineer,185135.61 - 191673.24
Product Designer,211286.16 - 217823.8
Product Designer,185135.61 - 191673.24
Site Reliability Engineer,145909.77 - 152447.41
Backend Engineer,93608.66 - 100146.3
Backend Engineer,67458.11 - 73995.75
Data Engineer,296275.46 - 302813.1
AI Engineer,165522.69 - 172060.33
Robotics Engineer,296275.46 - 302813.1
Robotics Engineer,198210.88 - 204748.52
AI Engineer,237436.71 - 243974.35
AI Engineer,172060.33 - 178597.97
Analytics Engineer,498942.26 - 505479.9
Data Specialist,100146.3 - 106683.94
Data Specialist,93608.66 - 100146.3
Research Scientist,433565.87 - 440103.51
Developer,257049.63 - 263587.27
Stage,60920.47 - 67458.11
Copywriter,152447.41 - 158985.05
Copywriter,100146.3 - 106683.94
Data Scientist,263587.27 - 270124.91
Business Intelligence Analyst,158985.05 - 165522.69
Data Architect,283200.18 - 289737.82
AI Developer,165522.69 - 172060.33
AI Developer,145909.77 - 152447.41
Software Development Engineer,283200.18 - 289737.82
Software Development Engineer,152447.41 - 158985.05
Software Development Engineer,237436.71 - 243974.35
Bioinformatics Scientist,185135.61 - 191673.24
Bioinformatics Scientist,106683.94 - 113221.58
Business Intelligence Engineer,211286.16 - 217823.8
Data Integration Specialist,145909.77 - 152447.41
Data Integration Specialist,93608.66 - 100146.3
Analytics Engineer,230899.08 - 237436.71
Analytics Engineer,217823.8 - 224361.44
Analytics Engineer,113221.58 - 119759.22
Head of AI,224361.44 - 230899.08
Head of AI,139372.13 - 145909.77
Member of Technical Staff,243974.35 - 250511.99
Member of Technical Staff,158985.05 - 165522.69
Product Manager,243974.35 - 250511.99
Machine Learning Researcher,158985.05 - 165522.69
Machine Learning Researcher,106683.94 - 113221.58
Engineer,440103.51 - 446641.15
Engineer,381264.76 - 387802.4
Product Designer,204748.52 - 211286.16
Product Designer,165522.69 - 172060.33
Software Engineer,557781.01 - 564318.65
Solution Architect,204748.52 - 211286.16
Solution Architect,178597.97 - 185135.61
Research Analyst,93608.66 - 100146.3
Data Engineer,302813.1 - 309350.74
Customer Success Manager,54382.83 - 60920.47
Applied Scientist,289737.82 - 296275.46
Software Development Engineer,87071.03 - 93608.66
Research Scientist,178597.97 - 185135.61
Platform Engineer,230899.08 - 237436.71
Computational Biologist,119759.22 - 126296.86
Computational Biologist,113221.58 - 119759.22
AI Data Scientist,198210.88 - 204748.52
Cloud Engineer,172060.33 - 178597.97
Cloud Engineer,126296.86 - 132834.5
Data Management Specialist,80533.39 - 87071.03
Data Product Owner,165522.69 - 172060.33
Data Product Owner,106683.94 - 113221.58
Data Operations Engineer,93608.66 - 100146.3
Data Operations Engineer,73995.75 - 80533.39
Business Intelligence Engineer,217823.8 - 224361.44
Business Intelligence Engineer,172060.33 - 178597.97
Research Engineer,113221.58 - 119759.22
Actuarial Analyst,132834.5 - 139372.13
Actuarial Analyst,54382.83 - 60920.47
Analyst,250511.99 - 257049.63
Member of Technical Staff,172060.33 - 178597.97
Member of Technical Staff,73995.75 - 80533.39
Product Manager,145909.77 - 152447.41
BI Analyst,172060.33 - 178597.97
BI Analyst,106683.94 - 113221.58
AI Engineer,100146.3 - 106683.94
Data Governance Analyst,230899.08 - 237436.71
Developer,60920.47 - 67458.11
DevOps Engineer,185135.61 - 191673.24
Site Reliability Engineer,47845.19 - 54382.83
Site Reliability Engineer,34769.92 - 41307.55
Computational Scientist,93608.66 - 100146.3
Computational Scientist,54382.83 - 60920.47
Engineer,597006.84 - 603544.48
Data Management Analyst,145909.77 - 152447.41
Data and Reporting Analyst,132834.5 - 139372.13
Research Scientist,73995.75 - 80533.39
Data Reporting Analyst,67458.11 - 73995.75
Data Reporting Analyst,54382.83 - 60920.47
Data Architect,204748.52 - 211286.16
Data Manager,73995.75 - 80533.39
Data Reporter,139372.13 - 145909.77
Data Reporter,119759.22 - 126296.86
Data Governance,250511.99 - 257049.63
Business Intelligence Analyst,73995.75 - 80533.39
Engineer,41307.55 - 47845.19
Engineer,427028.24 - 433565.87
Database Administrator,60920.47 - 67458.11
Consultant,100146.3 - 106683.94
Product Analyst,139372.13 - 145909.77
Software Engineer,381264.76 - 387802.4
Data Governance,309350.74 - 315888.38
Data Governance,158985.05 - 165522.69
Data Governance Analyst,67458.11 - 73995.75
Data Specialist,21694.64 - 28232.28
Developer,67458.11 - 73995.75
Cloud Engineer,191673.24 - 198210.88
Cloud Engineer,80533.39 - 87071.03
Quantitative Developer,198210.88 - 204748.52
Quantitative Developer,93608.66 - 100146.3
Site Reliability Engineer,139372.13 - 145909.77
Data and Reporting Analyst,178597.97 - 185135.61
Data and Reporting Analyst,73995.75 - 80533.39
Machine Learning Engineer,348576.57 - 355114.21
Solutions Architect,302813.1 - 309350.74
BI Developer,126296.86 - 132834.5
Quantitative Researcher,158985.05 - 165522.69
Quantitative Researcher,139372.13 - 145909.77
Architect,87071.03 - 93608.66
DevOps Engineer,211286.16 - 217823.8
Business Intelligence Engineer,198210.88 - 204748.52
Business Intelligence Engineer,113221.58 - 119759.22
Manager,342038.93 - 348576.57
Architect,217823.8 - 224361.44
Research Scientist,230899.08 - 237436.71
Product Designer,178597.97 - 185135.61
Machine Learning Scientist,132834.5 - 139372.13
Machine Learning Scientist,87071.03 - 93608.66
Developer,263587.27 - 270124.91
Associate,237436.71 - 243974.35
Associate,191673.24 - 198210.88
Analytics Engineer,100146.3 - 106683.94
Consultant,87071.03 - 93608.66
Research Scientist,315888.38 - 322426.02
Research Scientist,224361.44 - 230899.08
Product Analyst,73995.75 - 80533.39
Research Associate,41307.55 - 47845.19
Research Associate,34769.92 - 41307.55
Solutions Architect,119759.22 - 126296.86
Solutions Engineer,126296.86 - 132834.5
Developer,250511.99 - 257049.63
Developer,132834.5 - 139372.13
Product Manager,211286.16 - 217823.8
Machine Learning Engineer,15157.0 - 21694.64
Research Engineer,276662.55 - 283200.18
Platform Engineer,198210.88 - 204748.52
Data Management Specialist,41307.55 - 47845.19
Data Scientist,328963.66 - 335501.29
Statistician,145909.77 - 152447.41
Associate,348576.57 - 355114.21
Associate,270124.91 - 276662.55
Engineering Manager,309350.74 - 315888.38
Data Modeler,185135.61 - 191673.24
Data Modeler,158985.05 - 165522.69
Insight Analyst,93608.66 - 100146.3
Business Intelligence Analyst,15157.0 - 21694.64
Data Platform Engineer,126296.86 - 132834.5
Data Platform Engineer,47845.19 - 54382.83
Technical Lead,145909.77 - 152447.41
